주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
구파발역 공영주차장(시),NW,노외 주차장,37.638209,126.918987,1,1,24.0,24.0,207,399.0,은평구 진관동 70-1,은평구,3656,0.27781665500349895,1.0,1.0,203,0.1296787503684055,0.49754901960784315,0.7592722183344996,0.3136138849881243,0.536443051661312
난지중앙로노상공영주차장(시),NS,노상 주차장,37.5691472,126.8804551,1,31,13.0,13.0,2,31.0,마포구 상암동 481-94 ,마포구,4083,0.020293911826452064,0.2666666666666667,0.4210526315789473,408,0.16114058355437663,1.0,0.23600440335735537,0.5805702917771883,0.40828734756727186
남대문 시장 관광버스전용 주차장(시),NS,노상 주차장,37.559470000000005,126.9759085,1,2,24.0,24.0,220,2.0,중구 남창동 51-4,중구,2000,0.0,1.0,1.0,190,0.007662835249042127,0.46568627450980393,0.6666666666666666,0.23667455487942302,0.4516706107730448
남대문 초입 관광버스전용 주차장(시),NS,노상 주차장,37.55943,126.975717,1,3,24.0,24.0,220,3.0,중구 남창동 282-10,중구,2000,0.0006997900629811056,1.0,1.0,190,0.007662835249042127,0.46568627450980393,0.6668999300209938,0.23667455487942302,0.4517872424502084
남대문 화물 공영주차장(시),NS,노상 주차장,37.56091076,126.97788023,1,9,10.0,10.0,312,9.0,중구 남대문로4가 24-1,중구,2000,0.004898530440867739,0.06666666666666665,0.2631578947368421,98,0.007662835249042127,0.24019607843137256,0.11157436394812549,0.12392945684020734,0.11775191039416641
남부여성발전센터 공영주차장(시),NW,노외 주차장,37.462917,126.905718,1,1,24.0,24.0,48,128.0,금천구 시흥동 139-2,금천구,2257,0.08817354793561931,1.0,1.0,362,0.02659888004715591,0.8872549019607843,0.6960578493118731,0.4569268910039701,0.5764923701579217
남산공원 소월로 관광버스전용 주차장(시),NS,노상 주차장,37.554290705,126.978524075,1,12,24.0,24.0,78,12.0,중구 남대문로5가 450-0,중구,2000,0.006997900629811056,1.0,1.0,332,0.007662835249042127,0.8137254901960784,0.6689993002099369,0.41069416272256026,0.5398467314662486
남산공원 소파로 관광버스전용 주차장(시),NS,노상 주차장,37.55604371,126.97914481,1,21,24.0,24.0,134,21.0,중구 남창동 205-107,중구,2000,0.013296011196641006,1.0,1.0,276,0.007662835249042127,0.6764705882352942,0.6710986703988803,0.34206671174216813,0.5065826910705242
남산예장 관광버스전용 주차장(시),NW,노외 주차장,37.559821,126.989076,1,1,18.0,18.0,38,39.0,중구 예장동 4-1,중구,2000,0.02589223233030091,0.6,0.6842105263157894,372,0.007662835249042127,0.9117647058823529,0.4367009195486968,0.4597137705656975,0.44820734505719717
남산케이블카 공영주차장(시),NS,노상 주차장,37.55592104,126.98384264,1,21,12.0,12.0,114,21.0,중구 회현동1가 1-19,중구,2000,0.013296011196641006,0.20000000000000007,0.3684210526315789,296,0.007662835249042127,0.7254901960784313,0.19390568794274,0.3665765156637367,0.28024110180323836
남산파출소 공영주차장(시),NS,노상 주차장,37.55489261,126.98190801,1,13,10.0,6.0,38,14.0,중구 회현동1가 1-16,중구,2000,0.00839748075577327,0.06666666666666665,0.05263157894736842,372,0.007662835249042127,0.9117647058823529,0.042565242123269446,0.4597137705656975,0.25113950634448345
