pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
고척근린공원지하주차장,노외 주차장,199.0,300.0,300.0,False,37.5032363,126.8588409,구로구 고척동 9-14
고척리본타운,노외 주차장,66.0,,400.0,True,37.5032363,126.8588409,구로구 고척동 156-0
고척리본타운주차장,노외 주차장,66.0,300.0,300.0,False,37.5032363,126.8588409,구로구 고척동 156
곰달래 문화복지센터 공영주차장,노외 주차장,248.0,,400.0,True,37.54208,126.84656,강서구 화곡동 890-0
곰달래로5길 노상,노상 주차장,1.0,300.0,300.0,False,37.52782,126.83692,양천구 신월동 126-36
곰달래주차장,노외 주차장,106.0,100.0,100.0,False,37.52782,126.83692,양천구 신월동 226-9
공덕1-1 공영주차장,노외 주차장,77.0,166.66666666666669,166.66666666666669,False,37.549927,126.9592897,마포구 공덕동 11-243
공항2임시,노외 주차장,75.0,,400.0,True,37.5556799,126.7931257,강서구 공항동 703-0
공항동(송정역),노외 주차장,11.0,,400.0,True,37.5556799,126.7931257,강서구 공항동 42-8
관악신사시장 공영주차장,노외 주차장,13.0,300.0,300.0,False,37.4868971,126.928177,관악구 신림동 494-37
관악초 공영주차장,노외 주차장,151.0,,400.0,True,37.484665,126.9484961,관악구 봉천동 920-0
관철동 공영주차장,노상 주차장,7.0,860.0,860.0,False,37.56843983,126.98628105,종로구 관철동 13-14
광장공영주차장,노외 주차장,42.0,,400.0,True,37.53608,126.87585,양천구 목동 907-19
광장주차장,노외 주차장,42.0,300.0,300.0,False,37.53608,126.87585,양천구 목동 907-19
광진광장 공영주차장,노외 주차장,33.0,,400.0,True,37.5532345,127.071936,광진구 군자동 374-9
광화문빌딩,노상 주차장,1.0,1000.0,1000.0,False,37.5716796,126.9739063,종로구 당주동 40-9
교남 공영주차장,노외 주차장,30.0,600.0,600.0,False,37.57425,126.96215,종로구 행촌동 1-53
교대역동측주차장,노외 주차장,26.0,800.0,800.0,False,37.48818,127.01751,서초구 서초동 1673-7
교보생명옆 노상주차장,노상 주차장,1.0,300.0,300.0,False,37.5224036,126.89391,영등포구 당산동2가 21-26
교육청길 공영주차장,노상 주차장,1.0,400.0,400.0,False,37.628995,127.0257543,강북구 미아동 137-19
교통공원길,노상 주차장,1.0,,400.0,True,37.5184928,127.1030779,송파구 신천동 10-2
