행정동코드,연도,월,시간대구분,총생활인구수,월별총인구,시간대비율
11680545,2023,1,22,1103478.7575,31209175.1534,0.03535751111896286
11680545,2023,1,23,1048396.2138,31209175.1534,0.033592564002313446
11680545,2023,12,0,1019251.544,31279799.3891,0.032584977010919586
11680545,2023,12,1,979320.7393,31279799.3891,0.0313084085712283
11680545,2023,12,2,941840.9679,31279799.3891,0.03011019847615139
11680545,2023,12,3,915489.4891,31279799.3891,0.029267754492665273
11680545,2023,12,4,906592.7992,31279799.3891,0.02898333163594132
11680545,2023,12,5,894324.2548,31279799.3891,0.028591112227901408
11680545,2023,12,6,930703.3972,31279799.3891,0.029754135748208156
11680545,2023,12,7,988485.3931,31279799.3891,0.03160139810373769
11680545,2023,12,8,1157118.6681,31279799.3891,0.03699252203334841
11680545,2023,12,9,1352129.1639999999,31279799.3891,0.043226912908884356
11680545,2023,12,10,1485963.3823,31279799.3891,0.04750552789087932
11680545,2023,12,11,1601480.3031,31279799.3891,0.05119854776492154
11680545,2023,12,12,1664965.233,31279799.3891,0.053228130151633475
11680545,2023,12,13,1705244.7736,31279799.3891,0.05451584750873507
11680545,2023,12,14,1717082.0895,31279799.3891,0.05489428075099317
11680545,2023,12,15,1709967.5011,31279799.3891,0.0546668308140067
11680545,2023,12,16,1682159.7053,31279799.3891,0.053777829083078404
