연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,log_전력,log_인구
2023,강북구,번3동,11305606,1,3912.137,14964.347059139784,8.271839050991405,9.613425788138123
2023,강북구,번3동,11305606,12,3383.214,14524.382488172043,8.12658142424383,9.583584067093282
2023,강북구,수유1동,11305610,1,6112.016,16968.489081182794,8.718011948643976,9.739113319566911
2023,강북구,수유1동,11305610,12,5037.374,16992.377329569892,8.524640193535175,9.740520130102189
2023,강북구,수유2동,11305620,1,4978.648,18431.721240994622,8.512913647215944,9.821828439737299
2023,강북구,수유2동,11305620,12,4223.59,17262.717671505376,8.348440756281105,9.756304407138721
2023,강북구,수유3동,11305630,1,9354.433,28232.308529704304,9.143605627571533,10.248222293664062
2023,강북구,수유3동,11305630,12,7601.886,28992.25857903226,8.936151653383082,10.274784127781693
2023,강북구,우이동,11305645,1,5598.023,18245.6512297043,8.630168778677177,9.811682041832029
2023,강북구,우이동,11305645,12,4702.558,18455.151226344085,8.45586189496409,9.823098809759655
2023,강북구,인수동,11305660,1,7753.023,28551.373526478495,8.955838110808136,10.25946032343581
2023,강북구,인수동,11305660,12,6489.814,26152.966477553764,8.777989149811328,10.171717903883382
2023,도봉구,창제1동,11320511,1,5589.368,20507.866527822578,8.6286215007235,9.928563824584312
2023,도봉구,창제1동,11320511,12,4799.623,20452.235705376344,8.476292652144757,9.925847480941632
2023,도봉구,창제2동,11320512,1,6762.817,29141.489542069896,8.819194798211353,10.279918195191918
2023,도봉구,창제2동,11320512,12,5774.361,29322.674669892473,8.661182879917254,10.286116375233318
2023,도봉구,창제3동,11320513,1,3039.154,10590.23586827957,8.019334466196883,9.267687711083921
2023,도봉구,창제3동,11320513,12,2505.42,10364.672941801076,7.8262116641354735,9.24615847027663
2023,도봉구,창제4동,11320514,1,8405.586,27947.791780645162,9.036651763816883,10.238093469402894
2023,도봉구,창제4동,11320514,12,7605.183,28092.25108763441,8.936585267520252,10.243249055286611
2023,도봉구,창제5동,11320515,1,7872.72,20351.66419543011,8.9711588979642,9.920917966172263
2023,도봉구,창제5동,11320515,12,6558.348,19458.680671505375,8.788494020955527,9.87604855649951
2023,도봉구,도봉제1동,11320521,1,6919.674,18965.603841666667,8.842123937675423,9.850382293408725
2023,도봉구,도봉제1동,11320521,12,5921.462,17843.26052419355,8.686338656848044,9.789381154243603
2023,도봉구,도봉제2동,11320522,1,6624.262,18887.149053091398,8.798494248422987,9.846237025499905
2023,도봉구,도봉제2동,11320522,12,5600.804,19151.065556451613,8.630665437846421,9.860113635695347
2023,도봉구,쌍문제1동,11320660,1,5982.486,16851.686353897847,8.696591479620993,9.732206011122825
2023,도봉구,쌍문제1동,11320660,12,5027.952,17014.908086021507,8.52276802312519,9.741845184982214
2023,도봉구,쌍문제2동,11320670,1,5230.932,17378.913977822584,8.562344743859622,9.763012909975314
2023,도봉구,쌍문제2동,11320670,12,4310.322,17788.74763481183,8.36876789028394,9.786321381038087
2023,도봉구,쌍문제3동,11320680,1,4494.502,16652.04560295699,8.410610151001674,9.720288346898492
2023,도봉구,쌍문제3동,11320680,12,3922.892,16627.151613978494,8.274584415879028,9.718792277539643
2023,도봉구,쌍문제4동,11320681,1,3350.277,13024.924379301076,8.116798307967931,9.474620060792896
2023,도봉구,쌍문제4동,11320681,12,2933.229,13145.346561827957,7.983859142983807,9.483823101352613
2023,도봉구,방학제1동,11320690,1,9419.012,22897.815927956988,9.150485478842603,10.038796810668888
2023,도봉구,방학제1동,11320690,12,8319.349,24169.03645,9.026339285561631,10.09282760736709
2023,도봉구,방학제2동,11320700,1,4284.247,12076.33172325269,8.362700086301466,9.399002760079513
2023,도봉구,방학제2동,11320700,12,3708.42,10825.098103360215,8.218361188879756,9.289622615495695
2023,도봉구,방학제3동,11320710,1,5224.289,21963.991360618278,8.561073991018734,9.997159635055866
2023,도봉구,방학제3동,11320710,12,4569.596,20183.54747782258,8.427180077354688,9.91262307022328
2023,노원구,월계1동,11350560,1,7598.338,21241.642538306452,8.935684818149017,9.963718804677866
2023,노원구,월계1동,11350560,12,6619.543,23083.67078655914,8.797781613315522,10.04688075418693
2023,노원구,월계2동,11350570,1,4794.601,19347.737199731182,8.475245772176423,9.870330751037477
2023,노원구,월계2동,11350570,12,4015.5,19273.321620833332,8.297917151628518,9.866477119197096
2023,노원구,월계3동,11350580,1,5267.827,24503.49234327957,8.569373222536539,10.106570930997954
2023,노원구,월계3동,11350580,12,4788.617,24215.200043817207,8.473996922201867,10.094735815956096
2023,노원구,공릉1동,11350595,1,10867.748,42247.80640739247,9.29355478293843,10.651307712085806
2023,노원구,공릉1동,11350595,12,8949.515,43642.922436693545,9.099354619856438,10.683796404631806
2023,노원구,공릉2동,11350600,1,19556.117,41785.613874865594,9.881043406499211,10.640307393601178
2023,노원구,공릉2동,11350600,12,17059.318,46118.547330241934,9.744451843693245,10.738970476277263
2023,노원구,하계1동,11350611,1,7821.693,23620.631129166668,8.964656306271127,10.06987580951151
2023,노원구,하계1동,11350611,12,6707.438,25747.004539919355,8.810972338872787,10.156073570778371
2023,노원구,하계2동,11350612,1,2577.727,17941.63680174731,7.854663281848306,9.794879369006486
2023,노원구,하계2동,11350612,12,2395.382,16452.014913172043,7.781297996082568,9.708203235815503
2023,노원구,중계본동,11350619,1,5839.257,20788.873266935483,8.672358841700959,9.942173183468809
2023,노원구,중계본동,11350619,12,4906.099,19933.59270887097,8.49823440398703,9.900161663336673
2023,노원구,중계1동,11350621,1,5159.906,25149.05892204301,8.548673641255412,10.132575756221152
2023,노원구,중계1동,11350621,12,4315.836,24782.826199327956,8.370046327509646,10.11790620030718
2023,노원구,중계4동,11350624,1,5182.288,16123.54185282258,8.55300193657501,9.688035709843206
2023,노원구,중계4동,11350624,12,4433.601,15969.880060080644,8.396967399659031,9.678459730854033
2023,노원구,중계2.3동,11350625,1,7467.397,32274.319567473118,8.91830175689169,10.382027133152503
2023,노원구,중계2.3동,11350625,12,6550.957,31243.68521922043,8.787366424826958,10.349572561760105
2023,노원구,상계1동,11350630,1,9376.933,37056.95510793011,9.146008016251729,10.520211335317962
2023,노원구,상계1동,11350630,12,7867.665,36415.5334422043,8.97051660107327,10.50275070551367
2023,노원구,상계2동,11350640,1,10280.531,29672.351259811825,9.238007191371649,10.297970957189538
2023,노원구,상계2동,11350640,12,8841.06,29708.820388978493,9.087162057945381,10.29919926349402
2023,노원구,상계3.4동,11350665,1,3526.545,20420.728889919355,8.168073917094254,9.924305785984613
2023,노원구,상계3.4동,11350665,12,3006.27,20810.812999731184,8.008455386638595,9.943227986367525
2023,노원구,상계5동,11350670,1,4691.691,18542.94967688172,8.45354835082722,9.827844924463037
2023,노원구,상계5동,11350670,12,3881.855,18163.27512903226,8.264068411150882,9.807156984409438
2023,노원구,상계6.7동,11350695,1,16075.9,45128.867142069896,9.685076535096895,10.717277390402502
2023,노원구,상계6.7동,11350695,12,11798.949,47070.518295026886,9.375765738690374,10.759402145488737
2023,노원구,상계8동,11350700,1,3768.72,18522.4745875,8.234490700244807,9.826740116309846
2023,노원구,상계8동,11350700,12,3341.972,17573.700623387096,8.114316330903605,9.774158780710227
2023,노원구,상계9동,11350710,1,2334.166,17674.19052486559,7.755409932853832,9.779860691971503
2023,노원구,상계9동,11350710,12,2014.848,17292.67554704301,7.608299037292301,9.758038312052127
2023,노원구,상계10동,11350720,1,3508.534,13449.128658064516,8.162953565396421,9.5066695991444
2023,노원구,상계10동,11350720,12,3176.038,13212.012184543011,8.063389787030966,9.488881708743302
2023,은평구,녹번동,11380510,1,9837.669,33907.70002486559,9.19397407173947,10.431397406952865
2023,은평구,녹번동,11380510,12,8653.129,33254.3930907258,9.065676268619963,10.41194216038587
2023,은평구,불광제1동,11380520,1,21632.461,30168.300038306454,9.981950289636323,10.314546984470361
2023,은평구,불광제1동,11380520,12,20210.334,26682.36572983871,9.91394933673315,10.191758166632246
2023,은평구,불광제2동,11380530,1,5990.166,21371.597669623658,8.69787440358026,9.969818107784599
2023,은평구,불광제2동,11380530,12,5200.427,21695.29018723118,8.55649601658285,9.984850473908434
2023,은평구,갈현제1동,11380551,1,5153.577,20804.9588375,8.547446315667255,9.942946642924337
2023,은평구,갈현제1동,11380551,12,3956.953,18274.496673387097,8.283229563629769,9.813261742426773
2023,은평구,갈현제2동,11380552,1,7111.844,22308.083510752687,8.869516842195015,10.012704381036267
2023,은평구,갈현제2동,11380552,12,5996.24,22697.919100672043,8.698887885105899,10.030028529693663
2023,은평구,구산동,11380560,1,6346.304,24904.828371639785,8.755627875187388,10.122816974162209
2023,은평구,구산동,11380560,12,5506.417,25273.9396719086,8.613669418395967,10.137529091353231
2023,은평구,대조동,11380570,1,8872.306,42990.12101330645,9.090690018967429,10.668725624403939
2023,은평구,대조동,11380570,12,7745.543,50346.51967889784,8.95487286014162,10.82668477319354
2023,은평구,응암제1동,11380580,1,9394.304,23507.037070295697,9.147858827144873,10.065055105105925
2023,은평구,응암제1동,11380580,12,8237.372,23565.772933198925,9.016436639995044,10.067550638870799
2023,은평구,응암제2동,11380590,1,5413.005,16270.51030376344,8.596559670498749,9.697109564427025
